Time,OBT,RTT_Bangalore_Bangalore,RTT_Bangalore_CARTOSAT2C,RTT_Bangalore_Resourcesat2,RTT_CARTOSAT2C_Bangalore,RTT_CARTOSAT2C_CARTOSAT2C,RTT_CARTOSAT2C_Resourcesat2,RTT_Resourcesat2_Bangalore,RTT_Resourcesat2_CARTOSAT2C,RTT_Resourcesat2_Resourcesat2
00:00:01,0.0,inf,inf,inf,inf,inf,8.248,inf,8.248,inf
00:00:02,1.0,inf,inf,inf,inf,inf,8.25,inf,8.25,inf
00:00:03,2.0,inf,inf,inf,inf,inf,8.251,inf,8.252,inf
00:00:04,3.0,inf,inf,inf,inf,inf,8.253,inf,8.253,inf
00:00:05,4.0,inf,inf,inf,inf,inf,8.255,inf,8.255,inf
00:00:06,5.0,inf,inf,inf,inf,inf,8.256,inf,8.257,inf
00:00:07,6.0,inf,inf,inf,inf,inf,8.258,inf,8.258,inf
00:00:08,7.0,inf,inf,inf,inf,inf,8.26,inf,8.26,inf
00:00:09,8.0,inf,inf,inf,inf,inf,8.261,inf,8.262,inf
00:00:10,9.0,inf,inf,inf,inf,inf,8.263,inf,8.263,inf
00:00:11,10.0,inf,inf,inf,inf,inf,8.264,inf,8.265,inf
00:00:12,11.0,inf,inf,inf,inf,inf,8.266,inf,8.266,inf
00:00:13,12.0,inf,inf,inf,inf,inf,8.268,inf,8.268,inf
00:00:14,13.0,inf,inf,inf,inf,inf,8.269,inf,8.27,inf
00:00:15,14.0,inf,inf,inf,inf,inf,8.271,inf,8.271,inf
00:00:16,15.0,inf,inf,inf,inf,inf,8.273,inf,8.273,inf
00:00:17,16.0,inf,inf,inf,inf,inf,8.274,inf,8.275,inf
00:00:18,17.0,inf,inf,inf,inf,inf,8.276,inf,8.276,inf
00:00:19,18.0,inf,inf,inf,inf,inf,8.278,inf,8.278,inf
00:00:20,19.0,inf,inf,inf,inf,inf,8.279,inf,8.28,inf
00:00:21,20.0,inf,inf,inf,inf,inf,8.281,inf,8.281,inf
00:00:22,21.0,inf,inf,inf,inf,inf,8.282,inf,8.283,inf
00:00:23,22.0,inf,inf,inf,inf,inf,8.284,inf,8.285,inf
00:00:24,23.0,inf,inf,inf,inf,inf,8.286,inf,8.286,inf
00:00:25,24.0,inf,inf,inf,inf,inf,8.288,inf,8.288,inf
00:00:26,25.0,inf,inf,inf,inf,inf,8.289,inf,8.29,inf
00:00:27,26.0,inf,inf,inf,inf,inf,8.291,inf,8.291,inf
00:00:28,27.0,inf,inf,inf,inf,inf,8.292,inf,8.293,inf
00:00:29,28.0,inf,inf,inf,inf,inf,8.294,inf,8.295,inf
00:00:30,29.0,inf,inf,inf,inf,inf,8.296,inf,8.296,inf
00:00:31,30.0,inf,inf,inf,inf,inf,8.298,inf,8.298,inf
00:00:32,31.0,inf,inf,inf,inf,inf,8.299,inf,8.3,inf
00:00:33,32.0,inf,inf,inf,inf,inf,8.301,inf,8.301,inf
00:00:34,33.0,inf,inf,inf,inf,inf,8.303,inf,8.303,inf
00:00:35,34.0,inf,inf,inf,inf,inf,8.304,inf,8.305,inf
00:00:36,35.0,inf,inf,inf,inf,inf,8.306,inf,8.306,inf
00:00:37,36.0,inf,inf,inf,inf,inf,8.308,inf,8.308,inf
00:00:38,37.0,inf,inf,inf,inf,inf,8.309,inf,8.31,inf
00:00:39,38.0,inf,inf,inf,inf,inf,8.311,inf,8.312,inf
00:00:40,39.0,inf,inf,inf,inf,inf,8.313,inf,8.313,inf
00:00:41,40.0,inf,inf,inf,inf,inf,8.314,inf,8.315,inf
00:00:42,41.0,inf,inf,inf,inf,inf,8.316,inf,8.317,inf
00:00:43,42.0,inf,inf,inf,inf,inf,8.318,inf,8.318,inf
00:00:44,43.0,inf,inf,inf,inf,inf,8.32,inf,8.32,inf
00:00:45,44.0,inf,inf,inf,inf,inf,8.321,inf,8.322,inf
00:00:46,45.0,inf,inf,inf,inf,inf,8.323,inf,8.323,inf
00:00:47,46.0,inf,inf,inf,inf,inf,8.325,inf,8.325,inf
00:00:48,47.0,inf,inf,inf,inf,inf,8.326,inf,8.327,inf
00:00:49,48.0,inf,inf,inf,inf,inf,8.328,inf,8.328,inf
00:00:50,49.0,inf,inf,inf,inf,inf,8.33,inf,8.33,inf
00:00:51,50.0,inf,inf,inf,inf,inf,8.332,inf,8.332,inf
00:00:52,51.0,inf,inf,inf,inf,inf,8.333,inf,8.334,inf
00:00:53,52.0,inf,inf,inf,inf,inf,8.335,inf,8.335,inf
00:00:54,53.0,inf,inf,inf,inf,inf,8.337,inf,8.337,inf
00:00:55,54.0,inf,inf,inf,inf,inf,8.338,inf,8.339,inf
00:00:56,55.0,inf,inf,inf,inf,inf,8.34,inf,8.341,inf
00:00:57,56.0,inf,inf,inf,inf,inf,8.342,inf,8.342,inf
00:00:58,57.0,inf,inf,inf,inf,inf,8.344,inf,8.344,inf
00:00:59,58.0,inf,inf,inf,inf,inf,8.345,inf,8.346,inf
00:01:00,59.0,inf,inf,inf,inf,inf,8.347,inf,8.348,inf
00:01:01,60.0,inf,inf,inf,inf,inf,8.349,inf,8.349,inf
00:01:02,61.0,inf,inf,inf,inf,inf,8.351,inf,8.351,inf
00:01:03,62.0,inf,inf,inf,inf,inf,8.352,inf,8.353,inf
00:01:04,63.0,inf,inf,inf,inf,inf,8.354,inf,8.354,inf
00:01:05,64.0,inf,inf,inf,inf,inf,8.356,inf,8.356,inf
00:01:06,65.0,inf,inf,inf,inf,inf,8.358,inf,8.358,inf
00:01:07,66.0,inf,inf,inf,inf,inf,8.359,inf,8.36,inf
00:01:08,67.0,inf,inf,inf,inf,inf,8.361,inf,8.362,inf
00:01:09,68.0,inf,inf,inf,inf,inf,8.363,inf,8.363,inf
00:01:10,69.0,inf,inf,inf,inf,inf,8.365,inf,8.365,inf
00:01:11,70.0,inf,inf,inf,inf,inf,8.366,inf,8.367,inf
00:01:12,71.0,inf,inf,inf,inf,inf,8.368,inf,8.369,inf
00:01:13,72.0,inf,inf,inf,inf,inf,8.37,inf,8.37,inf
00:01:14,73.0,inf,inf,inf,inf,inf,8.372,inf,8.372,inf
00:01:15,74.0,inf,inf,inf,inf,inf,8.373,inf,8.374,inf
00:01:16,75.0,inf,inf,inf,inf,inf,8.375,inf,8.376,inf
00:01:17,76.0,inf,inf,inf,inf,inf,8.377,inf,8.377,inf
00:01:18,77.0,inf,inf,inf,inf,inf,8.379,inf,8.379,inf
00:01:19,78.0,inf,inf,inf,inf,inf,8.38,inf,8.381,inf
00:01:20,79.0,inf,inf,inf,inf,inf,8.382,inf,8.383,inf
00:01:21,80.0,inf,inf,inf,inf,inf,8.384,inf,8.384,inf
00:01:22,81.0,inf,inf,inf,inf,inf,8.386,inf,8.386,inf
00:01:23,82.0,inf,inf,inf,inf,inf,8.388,inf,8.388,inf
00:01:24,83.0,inf,inf,inf,inf,inf,8.389,inf,8.39,inf
00:01:25,84.0,inf,inf,inf,inf,inf,8.391,inf,8.392,inf
00:01:26,85.0,inf,inf,inf,inf,inf,8.393,inf,8.393,inf
00:01:27,86.0,inf,inf,inf,inf,inf,8.395,inf,8.395,inf
00:01:28,87.0,inf,inf,inf,inf,inf,8.397,inf,8.397,inf
00:01:29,88.0,inf,inf,inf,inf,inf,8.398,inf,8.399,inf
00:01:30,89.0,inf,inf,inf,inf,inf,8.4,inf,8.401,inf
00:01:31,90.0,inf,inf,inf,inf,inf,8.402,inf,8.402,inf
00:01:32,91.0,inf,inf,inf,inf,inf,8.404,inf,8.404,inf
00:01:33,92.0,inf,inf,inf,inf,inf,8.406,inf,8.406,inf
00:01:34,93.0,inf,inf,inf,inf,inf,8.407,inf,8.408,inf
00:01:35,94.0,inf,inf,inf,inf,inf,8.409,inf,8.41,inf
00:01:36,95.0,inf,inf,inf,inf,inf,8.411,inf,8.411,inf
00:01:37,96.0,inf,inf,inf,inf,inf,8.413,inf,8.413,inf
00:01:38,97.0,inf,inf,inf,inf,inf,8.415,inf,8.415,inf
00:01:39,98.0,inf,inf,inf,inf,inf,8.416,inf,8.417,inf
00:01:40,99.0,inf,inf,inf,inf,inf,8.418,inf,8.419,inf
00:01:41,100.0,inf,inf,inf,inf,inf,8.42,inf,8.42,inf
00:01:42,101.0,inf,inf,inf,inf,inf,8.422,inf,8.422,inf
00:01:43,102.0,inf,inf,inf,inf,inf,8.424,inf,8.424,inf
00:01:44,103.0,inf,inf,inf,inf,inf,8.426,inf,8.426,inf
00:01:45,104.0,inf,inf,inf,inf,inf,8.427,inf,8.428,inf
00:01:46,105.0,inf,inf,inf,inf,inf,8.429,inf,8.43,inf
