Time,OBT,RTT_Bangalore_Bangalore,RTT_Bangalore_CARTOSAT2C,RTT_Bangalore_Resourcesat2,RTT_CARTOSAT2C_Bangalore,RTT_CARTOSAT2C_CARTOSAT2C,RTT_CARTOSAT2C_Resourcesat2,RTT_Resourcesat2_Bangalore,RTT_Resourcesat2_CARTOSAT2C,RTT_Resourcesat2_Resourcesat2
00:00:01,0.0,,,,,,8.2481,,8.2485,
00:00:02,1.0,,,,,,8.2497,,8.2501,
00:00:03,2.0,,,,,,8.2513,,8.2517,
00:00:04,3.0,,,,,,8.253,,8.2534,
00:00:05,4.0,,,,,,8.2546,,8.255,
00:00:06,5.0,,,,,,8.2562,,8.2566,
00:00:07,6.0,,,,,,8.2578,,8.2582,
00:00:08,7.0,,,,,,8.2595,,8.2599,
00:00:09,8.0,,,,,,8.2611,,8.2615,
00:00:10,9.0,,,,,,8.2627,,8.2631,
00:00:11,10.0,,,,,,8.2644,,8.2648,
00:00:12,11.0,,,,,,8.266,,8.2664,
00:00:13,12.0,,,,,,8.2677,,8.2681,
00:00:14,13.0,,,,,,8.2693,,8.2697,
00:00:15,14.0,,,,,,8.271,,8.2714,
00:00:16,15.0,,,,,,8.2726,,8.273,
00:00:17,16.0,,,,,,8.2743,,8.2747,
00:00:18,17.0,,,,,,8.2759,,8.2763,
00:00:19,18.0,,,,,,8.2776,,8.278,
00:00:20,19.0,,,,,,8.2792,,8.2796,
00:00:21,20.0,,,,,,8.2809,,8.2813,
00:00:22,21.0,,,,,,8.2825,,8.2829,
00:00:23,22.0,,,,,,8.2842,,8.2846,
00:00:24,23.0,,,,,,8.2859,,8.2863,
00:00:25,24.0,,,,,,8.2875,,8.2879,
00:00:26,25.0,,,,,,8.2892,,8.2896,
00:00:27,26.0,,,,,,8.2909,,8.2913,
00:00:28,27.0,,,,,,8.2925,,8.2929,
00:00:29,28.0,,,,,,8.2942,,8.2946,
00:00:30,29.0,,,,,,8.2959,,8.2963,
00:00:31,30.0,,,,,,8.2976,,8.298,
00:00:32,31.0,,,,,,8.2992,,8.2997,
00:00:33,32.0,,,,,,8.3009,,8.3013,
00:00:34,33.0,,,,,,8.3026,,8.303,
00:00:35,34.0,,,,,,8.3043,,8.3047,
00:00:36,35.0,,,,,,8.306,,8.3064,
00:00:37,36.0,,,,,,8.3077,,8.3081,
00:00:38,37.0,,,,,,8.3094,,8.3098,
00:00:39,38.0,,,,,,8.3111,,8.3115,
00:00:40,39.0,,,,,,8.3128,,8.3132,
00:00:41,40.0,,,,,,8.3145,,8.3149,
00:00:42,41.0,,,,,,8.3162,,8.3166,
00:00:43,42.0,,,,,,8.3179,,8.3183,
00:00:44,43.0,,,,,,8.3196,,8.32,
00:00:45,44.0,,,,,,8.3213,,8.3217,
